year,"Infrastructure, closing by 2050","Infrastructure, closing by 2040","Human capital, closing by 2050","Human capital, closing by 2040"
2025,0.0,0.0,0.0,0.0
2026,-0.236,-0.394,0.164,0.232
2027,-0.249,-0.397,0.106,0.141
2028,-0.188,-0.277,0.047,0.048
2029,-0.068,-0.062,-0.004,-0.032
2030,0.102,0.232,-0.043,-0.089
2031,0.314,0.592,-0.065,-0.118
2032,0.56,1.004,-0.069,-0.118
2033,0.835,1.461,-0.055,-0.088
2034,1.133,1.954,-0.023,-0.029
2035,1.453,2.479,0.025,0.058
2036,1.789,3.03,0.091,0.173
2037,2.138,3.606,0.172,0.313
2038,2.499,4.207,0.268,0.476
2039,2.871,4.839,0.379,0.663
2040,3.248,5.508,0.503,0.87
2041,3.633,6.177,0.639,1.105
2042,4.022,6.765,0.786,1.374
2043,4.414,7.281,0.945,1.666
2044,4.811,7.735,1.113,1.97
2045,5.211,8.134,1.29,2.279
2046,5.615,8.485,1.476,2.588
2047,6.024,8.794,1.669,2.891
2048,6.438,9.064,1.869,3.186
2049,6.863,9.302,2.075,3.469
2050,7.306,9.511,2.287,3.74
